pred_date,target_date,split,n_positions,mean_conf_direction,gross_return_pct,transaction_cost_pct,net_return_pct,daily_net_profit,cumulative_net_profit,equity
2025-05-09,2025-05-12,test,17,0.824968,5.032541,0.15,4.882541,48825.41,48825.41,1048825.41
2025-05-12,2025-05-13,test,25,0.842295,0.007772,0.15,-0.142228,-1491.72,47333.69,1047333.69
2025-05-13,2025-05-14,test,14,0.831418,0.945957,0.15,0.795957,8336.33,55670.02,1055670.02
2025-05-14,2025-05-15,test,14,0.825925,0.684029,0.15,0.534029,5637.58,61307.6,1061307.6
2025-05-15,2025-05-16,test,11,0.824285,0.802291,0.15,0.652291,6922.81,68230.41,1068230.41
2025-05-16,2025-05-19,test,14,0.825917,0.568629,0.15,0.418629,4471.92,72702.33,1072702.33
2025-05-19,2025-05-20,test,25,0.82114,0.487592,0.15,0.337592,3621.36,76323.68,1076323.68
2025-05-20,2025-05-21,test,4,0.830239,0.7127,0.15,0.5627,6056.47,82380.16,1082380.16
2025-05-21,2025-05-22,test,10,0.825548,-0.05372,0.15,-0.20372,-2205.02,80175.13,1080175.13
2025-05-22,2025-05-23,test,8,0.828752,0.240675,0.15,0.090675,979.45,81154.58,1081154.58
2025-05-23,2025-05-26,test,3,0.830102,0.425167,0.15,0.275167,2974.98,84129.56,1084129.56
2025-05-26,2025-05-27,test,10,0.829665,-0.09502,0.15,-0.24502,-2656.33,81473.22,1081473.22
2025-05-27,2025-05-28,test,7,0.816525,0.6251,0.15,0.4751,5138.08,86611.3,1086611.3
2025-05-28,2025-05-29,test,7,0.827867,0.661357,0.15,0.511357,5556.46,92167.77,1092167.77
2025-05-29,2025-05-30,test,14,0.821875,-0.611986,0.15,-0.761986,-8322.16,83845.6,1083845.6
2025-05-30,2025-06-02,test,1,0.80854,-0.4196,0.15,-0.5696,-6173.58,77672.02,1077672.02
2025-06-02,2025-06-03,test,16,0.817711,0.204469,0.15,0.054469,586.99,78259.01,1078259.01
2025-06-03,2025-06-04,test,6,0.826673,0.966983,0.15,0.816983,8809.2,87068.21,1087068.21
2025-06-04,2025-06-05,test,5,0.826321,0.41912,0.15,0.26912,2925.52,89993.73,1089993.73
2025-06-05,2025-06-06,test,22,0.817189,0.602359,0.15,0.452359,4930.69,94924.41,1094924.41
2025-06-06,2025-06-09,test,23,0.817388,0.633883,0.15,0.483883,5298.15,100222.56,1100222.56
2025-06-09,2025-06-10,test,25,0.823495,0.582344,0.15,0.432344,4756.75,104979.31,1104979.31
2025-06-10,2025-06-11,test,10,0.818862,0.45238,0.15,0.30238,3341.24,108320.55,1108320.55
2025-06-11,2025-06-12,test,16,0.817134,0.350719,0.15,0.200719,2224.61,110545.15,1110545.15
2025-06-12,2025-06-13,test,1,0.824537,-1.4749,0.15,-1.6249,-18045.25,92499.91,1092499.91
2025-06-13,2025-06-16,test,12,0.817798,0.1701,0.15,0.0201,219.59,92719.5,1092719.5
2025-06-16,2025-06-17,test,6,0.834749,-1.043467,0.15,-1.193467,-13041.24,79678.25,1079678.25
2025-06-17,2025-06-18,test,2,0.885737,1.48355,0.15,1.33355,14398.05,94076.3,1094076.3
2025-06-18,2025-06-19,test,2,0.839729,1.53335,0.15,1.38335,15134.9,109211.21,1109211.21
2025-06-19,2025-06-20,test,1,0.817026,0.316,0.15,0.166,1841.29,111052.5,1111052.5
2025-06-20,2025-06-23,test,4,0.852476,-0.4453,0.15,-0.5953,-6614.1,104438.4,1104438.4
2025-06-23,2025-06-24,test,9,0.825063,0.917411,0.15,0.767411,8475.58,112913.99,1112913.99
2025-06-24,2025-06-25,test,6,0.826549,0.546433,0.15,0.396433,4411.96,117325.95,1117325.95
2025-06-25,2025-06-26,test,5,0.818239,0.34066,0.15,0.19066,2130.29,119456.24,1119456.24
2025-06-26,2025-06-27,test,1,0.821796,0.1381,0.15,-0.0119,-133.22,119323.03,1119323.03
2025-06-27,2025-06-30,test,6,0.830136,1.1748,0.15,1.0248,11470.82,130793.85,1130793.85
2025-06-30,2025-07-01,test,9,0.822683,0.144633,0.15,-0.005367,-60.69,130733.16,1130733.16
2025-07-01,2025-07-02,test,25,0.817527,0.25796,0.15,0.10796,1220.74,131953.9,1131953.9
2025-07-02,2025-07-03,test,13,0.820228,0.148308,0.15,-0.001692,-19.16,131934.75,1131934.75
2025-07-03,2025-07-04,test,7,0.815244,0.435471,0.15,0.285471,3231.35,135166.1,1135166.1
2025-07-04,2025-07-07,test,7,0.823261,0.164843,0.15,0.014843,168.49,135334.59,1135334.59
2025-07-07,2025-07-08,test,4,0.820921,0.155725,0.15,0.005725,65.0,135399.59,1135399.59
2025-07-08,2025-07-09,test,9,0.823163,0.087711,0.15,-0.062289,-707.23,134692.36,1134692.36
2025-07-09,2025-07-10,test,14,0.819408,0.26305,0.15,0.11305,1282.77,135975.13,1135975.13
2025-07-10,2025-07-11,test,6,0.829639,1.69585,0.15,1.54585,17560.47,153535.6,1153535.6
2025-07-11,2025-07-14,test,4,0.83054,0.059475,0.15,-0.090525,-1044.24,152491.36,1152491.36
2025-07-14,2025-07-15,test,7,0.818679,0.070814,0.15,-0.079186,-912.61,151578.75,1151578.75
2025-07-15,2025-07-16,test,11,0.818242,0.189545,0.15,0.039545,455.4,152034.15,1152034.15
2025-07-16,2025-07-17,test,3,0.816054,0.437467,0.15,0.287467,3311.71,155345.86,1155345.86
2025-07-17,2025-07-18,test,5,0.810362,0.32372,0.15,0.17372,2007.07,157352.93,1157352.93
2025-07-18,2025-07-21,test,1,0.858893,-0.3886,0.15,-0.5386,-6233.5,151119.43,1151119.43
2025-07-21,2025-07-22,test,12,0.83026,1.21275,0.15,1.06275,12233.52,163352.95,1163352.95
2025-07-22,2025-07-23,test,15,0.829728,0.368007,0.15,0.218007,2536.19,165889.14,1165889.14
2025-07-23,2025-07-24,test,5,0.830041,0.51452,0.15,0.36452,4249.9,170139.04,1170139.04
2025-07-24,2025-07-25,test,25,0.847015,0.036844,0.15,-0.113156,-1324.08,168814.95,1168814.95
