split,scope,metric,value,n_obs
test,pooled,direction_score,0.276536,58448
test,residual,direction_score,0.031563,58448
train,pooled,direction_score,0.407620,174080
train,residual,direction_score,0.024086,174080
valid,pooled,direction_score,0.238483,49234
valid,residual,direction_score,0.018426,49234
test,pooled,directional_return_pct,0.145841,58448
test,residual,directional_return_pct,0.012039,58448
train,pooled,directional_return_pct,0.253327,174080
train,residual,directional_return_pct,0.011190,174080
valid,pooled,directional_return_pct,0.145374,49234
valid,residual,directional_return_pct,0.008643,49234
test,pooled,conf_direction_score,0.309637,58448
test,residual,conf_direction_score,0.053766,58448
train,pooled,conf_direction_score,0.458351,174080
train,residual,conf_direction_score,0.054374,174080
valid,pooled,conf_direction_score,0.269296,49234
valid,residual,conf_direction_score,0.044327,49234
test,pooled,magnitude_score,0.009904,58448
test,residual,magnitude_score,-0.288931,58448
train,pooled,magnitude_score,0.225600,174080
train,residual,magnitude_score,-0.018964,174080
valid,pooled,magnitude_score,0.074512,49234
valid,residual,magnitude_score,-0.111843,49234
test,pooled,conf_direction_lift,0.033101,58448
test,residual,conf_direction_lift,0.022203,58448
train,pooled,conf_direction_lift,0.050731,174080
train,residual,conf_direction_lift,0.030288,174080
valid,pooled,conf_direction_lift,0.030813,49234
valid,residual,conf_direction_lift,0.025902,49234
test,pooled,conf_magnitude_score,0.025531,58448
test,residual,conf_magnitude_score,0.026283,58448
train,pooled,conf_magnitude_score,0.017648,174080
train,residual,conf_magnitude_score,0.030275,174080
valid,pooled,conf_magnitude_score,0.021397,49234
valid,residual,conf_magnitude_score,0.034535,49234
test,pooled,hit_rate,0.666747,58448
test,residual,hit_rate,0.498819,58448
train,pooled,hit_rate,0.727212,174080
train,residual,hit_rate,0.488994,174080
valid,pooled,hit_rate,0.681440,49234
valid,residual,hit_rate,0.485193,49234
train,pooled,precision_up,0.736679,169075
train,residual,precision_up,0.485021,169075
valid,pooled,precision_up,0.685328,48085
valid,residual,precision_up,0.482375,48085
test,pooled,precision_up,0.675135,55660
test,residual,precision_up,0.492400,55660
test,pooled,recall_up,0.964181,38974
test,residual,recall_up,0.963441,28447
train,pooled,recall_up,0.976741,127520
train,residual,recall_up,0.977518,83891
valid,pooled,recall_up,0.983496,33507
valid,residual,recall_up,0.980720,23651
train,pooled,f1_up,0.839893,174080
train,residual,f1_up,0.648348,174080
valid,pooled,f1_up,0.807775,49234
valid,residual,f1_up,0.646677,49234
test,pooled,f1_up,0.794175,58448
test,residual,f1_up,0.651717,58448
test,pooled,brier,0.221308,58448
test,residual,brier,0.298074,58448
train,pooled,brier,0.193273,174080
train,residual,brier,0.308942,174080
valid,pooled,brier,0.215229,49234
valid,residual,brier,0.308707,49234
test,pooled,brier_skill,0.003993,58448
test,residual,brier_skill,-0.192303,58448
train,pooled,brier_skill,0.025718,174080
train,residual,brier_skill,-0.236367,174080
valid,pooled,brier_skill,0.008526,49234
valid,residual,brier_skill,-0.235913,49234
test,pooled,log_loss,0.634794,58448
test,residual,log_loss,0.802229,58448
train,pooled,log_loss,0.573547,174080
train,residual,log_loss,0.829295,174080
valid,pooled,log_loss,0.621888,49234
valid,residual,log_loss,0.827860,49234
test,pooled,ece_10,0.051777,58448
test,residual,ece_10,0.220446,58448
train,pooled,ece_10,0.011958,174080
train,residual,ece_10,0.246046,174080
valid,pooled,ece_10,0.048383,49234
valid,residual,ece_10,0.244995,49234
test,pooled,mae,0.522163,58448
train,pooled,mae,0.481273,174080
valid,pooled,mae,0.564157,49234
test,pooled,rmse,0.794188,58448
train,pooled,rmse,0.780565,174080
valid,pooled,rmse,0.956185,49234
test,pooled,rank_ic,0.133400,281
test,pooled,rank_ic_t,17.761297,281
test,residual,rank_ic,0.060467,281
test,residual,rank_ic_t,12.535029,281
train,pooled,rank_ic,0.211475,892
train,pooled,rank_ic_t,60.484669,892
train,residual,rank_ic,0.129661,892
train,residual,rank_ic_t,45.757241,892
valid,pooled,rank_ic,0.181680,240
valid,pooled,rank_ic_t,24.772941,240
valid,residual,rank_ic,0.090795,240
valid,residual,rank_ic_t,16.786575,240
test,pooled,r2_vs_vol,-0.116752,58448
train,pooled,r2_vs_vol,-0.054365,170020
valid,pooled,r2_vs_vol,-0.064952,49134
test,pooled,mae_conf_top_decile,0.546912,5845
test,pooled,mae_conf_bottom_decile,0.554628,5845
test,pooled,conf_mag_gradient,0.007716,58448
train,pooled,mae_conf_top_decile,0.527424,17408
train,pooled,mae_conf_bottom_decile,0.534648,17408
train,pooled,conf_mag_gradient,0.007224,174080
valid,pooled,mae_conf_top_decile,0.576344,4924
valid,pooled,mae_conf_bottom_decile,0.638708,4924
valid,pooled,conf_mag_gradient,0.062363,49234
test,pooled,frac_stocks_hit_gt_50,0.990385,208
train,pooled,frac_stocks_hit_gt_50,1.000000,203
valid,pooled,frac_stocks_hit_gt_50,0.995192,208
test,pooled,frac_stocks_beat_naive,0.456731,208
train,pooled,frac_stocks_beat_naive,0.142857,203
valid,pooled,frac_stocks_beat_naive,0.451923,208
test,pooled,var_share_universe,0.487802,58448
train,pooled,var_share_universe,0.276932,174080
valid,pooled,var_share_universe,0.422016,49234
